mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
JHU- 9545,278.33,0.65,2,5,0.21,6.99,97.97,0.17,19,2
Sulfamethazine,278.33,0.65,2,5,0.21,6.99,97.97,0.17,19,2
NCGC EXT_IDNPC-7388924,278.33,0.65,2,5,0.21,6.99,97.97,0.17,19,2
sulfameter,280.3,0.23,2,6,-0.18,7.06,107.2,0.09,19,3
JHU- 9544,280.3,0.23,2,6,-0.18,7.06,107.2,0.09,19,3
Sulfameter,280.3,0.23,2,6,-0.18,7.06,107.2,0.09,19,3
NCGC EXT_IDNPC-7460219,280.3,0.23,2,6,-0.18,7.06,107.2,0.09,19,3
sulfamerazine,264.3,0.52,2,5,0.08,6.99,97.97,0.09,18,2
JHU- 9542,264.3,0.52,2,5,0.08,6.99,97.97,0.09,18,2
Sulfamerazine,264.3,0.52,2,5,0.08,6.99,97.97,0.09,18,2
NCGC EXT_IDNPC-7294378,264.3,0.52,2,5,0.08,6.99,97.97,0.09,18,2
JHU- 9548,280.3,0.47,2,6,-0.05,6.84,107.2,0.09,19,3
Sulfalene,280.3,0.47,2,6,-0.05,6.84,107.2,0.09,19,3
NCGC EXT_IDNPC-7364022,280.3,0.47,2,6,-0.05,6.84,107.2,0.09,19,3
JHU- 9537,214.24,-0.52,4,5,-1.01,7.72,122.06,0,14,1
Sulfaguanidine,214.24,-0.52,4,5,-1.01,7.72,122.06,0,14,1
NCGC EXT_IDNPC-7364492,214.24,-0.52,4,5,-1.01,7.72,122.06,0,14,1
JHU- 9535,310.33,0.58,2,7,-0.22,6.12,116.43,0.17,21,4
Sulfadoxine,310.33,0.58,2,7,-0.22,6.12,116.43,0.17,21,4
NCGC EXT_IDNPC-7298651,310.33,0.58,2,7,-0.22,6.12,116.43,0.17,21,4
Sulfadiazine,250.28,0.39,2,5,-0.05,6.99,97.97,0,17,2
JHU- 9529,250.28,0.39,2,5,-0.05,6.99,97.97,0,17,2
NCGC EXT_IDNPC-7292987,250.28,0.39,2,5,-0.05,6.99,97.97,0,17,2
JHU- 9528,294.33,0.05,2,5,0.05,10.6,104.86,0.17,20,3
Sulfacytine,294.33,0.05,2,5,0.05,10.6,104.86,0.17,20,3
NCGC EXT_IDNPC-7374419,294.33,0.05,2,5,0.05,10.6,104.86,0.17,20,3
sulfacetamide,214.24,-0.26,2,4,-1.2,4.3,89.26,0.12,14,1
JHU- 9521,214.24,-0.26,2,4,-1.2,4.3,89.26,0.12,14,1
NCGC EXT_IDNPC-7418370,214.24,-0.26,2,4,-1.2,4.3,89.26,0.12,14,1
sulfabenzamide,276.31,1.59,2,4,0.65,4.32,89.26,0,19,2
JHU- 9517,276.31,1.59,2,4,0.65,4.32,89.26,0,19,2
NCGC EXT_IDNPC-7276584,276.31,1.59,2,4,0.65,4.32,89.26,0,19,2
sulconazole,397.74,6.06,0,1,6.02,6.51,17.82,0.17,24,6
JHU- 9513,397.74,6.06,0,1,6.02,6.51,17.82,0.17,24,6
NCGC EXT_IDNPC-7411281,397.74,6.06,0,1,6.02,6.51,17.82,0.17,24,6
JHU- 9492,386.55,3.61,0,3,2.13,8.86,32.78,0.5,27,8
Sufentanil,386.55,3.61,0,3,2.13,8.86,32.78,0.5,27,8
NCGC EXT_IDNPC-7403150,386.55,3.61,0,3,2.13,8.86,32.78,0.5,27,8
succinylcholine,290.403,-8.39,0,2,-8.39,-6.75,52.6,0.86,20,11
JHU- 9479,290.403,-8.39,0,2,-8.39,-6.75,52.6,0.86,20,11
NCGC EXT_IDNPC-7231854,290.403,-8.39,0,2,-8.39,-6.75,52.6,0.86,20,11
JHU- 9477,118.088,-0.4,2,4,-5.47,3.55,74.6,0.5,8,3
Succinic acid,118.088,-0.4,2,4,-5.47,3.55,74.6,0.5,8,3
NCGC EXT_IDNPC-7445898,118.088,-0.4,2,4,-5.47,3.55,74.6,0.5,8,3
Succimer,182.21,0.26,4,4,-5.1,3.37,74.6,0.5,10,3
JHU- 9474,182.21,0.26,4,4,-5.1,3.37,74.6,0.5,10,3
Succimer,182.21,0.26,4,4,-5.1,3.37,74.6,0.5,10,3
JHU- 1713,217.28,0.73,2,3,-2.42,4.02,57.61,0.78,14,3
ST079562,217.28,0.73,2,3,-2.42,4.02,57.61,0.78,14,3
JHU- 12039,484.139,-3.38,7,12,-10.79,0.9,258.92,0.56,29,8
ST079281,484.139,-3.38,7,12,-10.79,0.9,258.92,0.56,29,8
amiloride,229.63,-0.89,4,8,-1.14,7.29,159.29,0,15,1
JHU- 489,229.63,-0.89,4,8,-1.14,7.29,159.29,0,15,1
ST079279,229.63,-0.89,4,8,-1.14,7.29,159.29,0,15,1
NCGC EXT_IDNPC-7269970,229.63,-0.89,4,8,-1.14,7.29,159.29,0,15,1
JHU- 5492,260.245,1.72,0,4,1.72,-2.85,57.9,0.21,19,2
ST076676,260.245,1.72,0,4,1.72,-2.85,57.9,0.21,19,2
NCGC EXT_IDNPC-7410552,260.245,1.72,0,4,1.72,-2.85,57.9,0.21,19,2
JHU- 178,507.181,-5.36,7,14,-10.47,0.9,279.13,0.5,31,8
ST075421,507.181,-5.36,7,14,-10.47,0.9,279.13,0.5,31,8
JHU- 810,133.103,-3.5,3,5,-5.75,1.7,100.62,0.5,9,3
ST075415,133.103,-3.5,3,5,-5.75,1.7,100.62,0.5,9,3
JHU- 8452,362.39,-3.27,4,5,-3.33,6.74,150.28,0.56,26,6
ST075200,362.39,-3.27,4,5,-3.33,6.74,150.28,0.56,26,6
JHU- 2323,504.96,-0.57,5,8,-2.35,0.71,148.79,0.94,31,9
ST075182,504.96,-0.57,5,8,-2.35,0.71,148.79,0.94,31,9
JHU- 5636,131.175,-1.59,2,3,-1.59,2.79,63.32,0.83,9,3
ST074999,131.175,-1.59,2,3,-1.59,2.79,63.32,0.83,9,3
JHU- 5765,206.32,2.11,1,2,-0.68,4.52,37.3,0.88,12,5
ST073359,206.32,2.11,1,2,-0.68,4.52,37.3,0.88,12,5
NCGC EXT_IDNPC-7384807,206.32,2.11,1,2,-0.68,4.52,37.3,0.88,12,5
chlorphentermine,183.68,2.69,1,1,0.07,10.2,26.02,0.4,12,2
JHU- 2087,183.68,2.69,1,1,0.07,10.2,26.02,0.4,12,2
Chlorphentermine,183.68,2.69,1,1,0.07,10.2,26.02,0.4,12,2
ST073025,183.68,2.69,1,1,0.07,10.2,26.02,0.4,12,2
NCGC EXT_IDNPC-7387982,183.68,2.69,1,1,0.07,10.2,26.02,0.4,12,2
lactulose,342.297,-4.53,8,11,-4.53,10.3,189.53,1,23,5
JHU- 5519,342.297,-4.53,8,11,-4.53,10.3,189.53,1,23,5
ST072194,342.297,-4.53,8,11,-4.53,10.3,189.53,1,23,5
NCGC EXT_IDNPC-7365799,342.297,-4.53,8,11,-4.53,10.3,189.53,1,23,5
JHU- 352,472.754,10.42,0,2,10.42,-4.86,35.53,0.77,34,14
ST072191,472.754,10.42,0,2,10.42,-4.86,35.53,0.77,34,14
NCGC EXT_IDNPC-9299240,472.754,10.42,0,2,10.42,-4.86,35.53,0.77,34,14
JHU- 3454,292.244,-5.02,4,10,-14.74,1.5,155.68,0.6,20,11
Edetic acid,292.244,-5.02,4,10,-14.74,1.5,155.68,0.6,20,11
ST072179,292.244,-5.02,4,10,-14.74,1.5,155.68,0.6,20,11
JHU- 9998,180.167,-0.77,1,3,-0.78,9.24,67.23,0.29,13,0
ST069337,180.167,-0.77,1,3,-0.78,9.24,67.23,0.29,13,0
JHU- 2280,156.269,2.75,1,1,2.75,-1.88,20.23,0.8,11,5
ST069325,156.269,2.75,1,1,2.75,-1.88,20.23,0.8,11,5
nicotine,162.236,1.16,0,2,-0.04,8.58,16.13,0.5,12,1
JHU- 6912,162.236,1.16,0,2,-0.04,8.58,16.13,0.5,12,1
ST069320,162.236,1.16,0,2,-0.04,8.58,16.13,0.5,12,1
JHU- 3914,164.204,2.61,1,2,2.61,9.94,29.46,0.2,12,3
ST069318,164.204,2.61,1,2,2.61,9.94,29.46,0.2,12,3
NCGC EXT_IDNPC-7271137,164.204,2.61,1,2,2.61,9.94,29.46,0.2,12,3
Gossypol,518.562,8.02,6,8,7.86,7.8,155.52,0.27,38,4
JHU- 12311,518.562,8.02,6,8,7.86,7.8,155.52,0.27,38,4
Gossypol,518.562,8.02,6,8,7.86,7.8,155.52,0.27,38,4
ST065835,518.562,8.02,6,8,7.86,7.8,155.52,0.27,38,4
NCGC EXT_IDNPC-7326659,518.562,8.02,6,8,7.86,7.8,155.52,0.27,38,4
JHU- 4938,374.91,3.41,1,4,3.09,7.45,35.94,0.43,26,8
HYDROXYZINE,374.91,3.41,1,4,3.09,7.45,35.94,0.43,26,8
ST059726,374.91,3.41,1,4,3.09,7.45,35.94,0.43,26,8
NCGC EXT_IDNPC-7427497,374.91,3.41,1,4,3.09,7.45,35.94,0.43,26,8
JHU- 1694,196.202,1.06,0,3,1.06,-4.18,52.6,0.8,14,0
ST057771,196.202,1.06,0,3,1.06,-4.18,52.6,0.8,14,0
NCGC EXT_IDNPC-7358886,196.202,1.06,0,3,1.06,-4.18,52.6,0.8,14,0
caffeine,194.194,-0.55,0,3,-0.55,-1.16,58.44,0.38,14,0
JHU- 1581,194.194,-0.55,0,3,-0.55,-1.16,58.44,0.38,14,0
Caffeine,194.194,-0.55,0,3,-0.55,-1.16,58.44,0.38,14,0
ST057528,194.194,-0.55,0,3,-0.55,-1.16,58.44,0.38,14,0
JHU- 8873,394.423,3.32,0,6,3.32,14,63.22,0.35,29,3
ST057261,394.423,3.32,0,6,3.32,14,63.22,0.35,29,3
NCGC EXT_IDNPC-7446462,394.423,3.32,0,6,3.32,14,63.22,0.35,29,3
Melatonin,232.283,1.15,2,2,1.15,15.8,54.12,0.31,17,4
JHU- 12400,232.283,1.15,2,2,1.15,15.8,54.12,0.31,17,4
Melatonin,232.283,1.15,2,2,1.15,15.8,54.12,0.31,17,4
ST057260,232.283,1.15,2,2,1.15,15.8,54.12,0.31,17,4
JHU- 657,265.309,0.73,2,4,-1.08,9.22,67.79,0.5,19,5
ST057175,265.309,0.73,2,4,-1.08,9.22,67.79,0.5,19,5
JHU- 12156,399.443,1.46,1,6,1.46,15.1,83.09,0.36,29,5
ST056390,399.443,1.46,1,6,1.46,15.1,83.09,0.36,29,5
JHU- 3720,340.284,-1.09,5,8,-1.17,8.12,145.91,0.4,24,3
ST056309,340.284,-1.09,5,8,-1.17,8.12,145.91,0.4,24,3
JHU- 7826,275.352,2.23,1,3,2.17,6.59,44.81,0.53,20,2
ST056286,275.352,2.23,1,3,2.17,6.59,44.81,0.53,20,2
JHU- 12532,324.424,2.51,1,4,0.86,9.05,45.59,0.45,24,4
ST056282,324.424,2.51,1,4,0.86,9.05,45.59,0.45,24,4
JHU- 6012,302.37,4.76,4,4,4.75,9.21,80.92,0.33,22,5
ST056220,302.37,4.76,4,4,4.75,9.21,80.92,0.33,22,5
JHU- 6888,484.394,3.7,0,4,2.9,8.12,56.59,0.42,31,5
ST055762,484.394,3.7,0,4,2.9,8.12,56.59,0.42,31,5
cinoxacin,262.221,1.72,1,7,-0.72,4.93,88.43,0.25,19,2
JHU- 2233,262.221,1.72,1,7,-0.72,4.93,88.43,0.25,19,2
Cinoxacin,262.221,1.72,1,7,-0.72,4.93,88.43,0.25,19,2
ST044511,262.221,1.72,1,7,-0.72,4.93,88.43,0.25,19,2
NCGC EXT_IDNPC-7453150,262.221,1.72,1,7,-0.72,4.93,88.43,0.25,19,2
methoxsalen,216.192,1.78,0,2,1.78,-2.93,48.67,0.08,16,1
JHU- 6324,216.192,1.78,0,2,1.78,-2.93,48.67,0.08,16,1
"Methoxsalen, 8-",216.192,1.78,0,2,1.78,-2.93,48.67,0.08,16,1
ST041029,216.192,1.78,0,2,1.78,-2.93,48.67,0.08,16,1
NCGC EXT_IDNPC-9299321,216.192,1.78,0,2,1.78,-2.93,48.67,0.08,16,1
JHU- 794,176.124,-1.91,4,5,-5,4.16,107.22,0.5,12,2
JHU- 1597,176.124,-1.91,4,5,-5,4.16,107.22,0.5,12,2
ST040521,176.124,-1.91,4,5,-5,4.16,107.22,0.5,12,2
JHU- 3204,244.246,3.97,2,4,3.03,6.78,66.76,0.07,18,3
ST033388,244.246,3.97,2,4,3.03,6.78,66.76,0.07,18,3
NCGC EXT_IDNPC-7363575,244.246,3.97,2,4,3.03,6.78,66.76,0.07,18,3
oxybenzone,228.247,3.62,1,3,3.13,7.07,46.53,0.07,17,3
JHU- 7368,228.247,3.62,1,3,3.13,7.07,46.53,0.07,17,3
ST029243,228.247,3.62,1,3,3.13,7.07,46.53,0.07,17,3
NCGC EXT_IDNPC-7455503,228.247,3.62,1,3,3.13,7.07,46.53,0.07,17,3
JHU- 8905,610.521,-0.87,10,16,-2.02,6.37,265.52,0.44,43,6
ST024710,610.521,-0.87,10,16,-2.02,6.37,265.52,0.44,43,6
JHU- 8543,302.238,2.16,5,7,1,6.38,127.45,0,22,1
ST024706,302.238,2.16,5,7,1,6.38,127.45,0,22,1
NCGC EXT_IDNPC-7447202,302.238,2.16,5,7,1,6.38,127.45,0,22,1
JHU- 9423,284.484,7.15,1,2,4.73,4.95,37.3,0.94,20,16
ST023799,284.484,7.15,1,2,4.73,4.95,37.3,0.94,20,16
Papaverine topical gel,339.391,3.08,0,5,3.06,6.03,49.81,0.25,25,6
JHU- 7466,339.391,3.08,0,5,3.06,6.03,49.81,0.25,25,6
Papaverine,339.391,3.08,0,5,3.06,6.03,49.81,0.25,25,6
ST023301,339.391,3.08,0,5,3.06,6.03,49.81,0.25,25,6
NCGC EXT_IDNPC-7324266,339.391,3.08,0,5,3.06,6.03,49.81,0.25,25,6
JHU- 2105,386.664,7.11,1,1,7.11,-1.4,20.23,0.93,28,5
ST012000,386.664,7.11,1,1,7.11,-1.4,20.23,0.93,28,5
F1443-0922,386.664,7.11,1,1,7.11,-1.4,20.23,0.93,28,5
JHU- 8739,376.369,-0.92,5,9,-2.25,5.97,155.05,0.41,27,5
ST011914,376.369,-0.92,5,9,-2.25,5.97,155.05,0.41,27,5
adenosine,267.245,-2.09,4,8,-2.09,3.94,139.54,0.5,19,2
JHU- 176,267.245,-2.09,4,8,-2.09,3.94,139.54,0.5,19,2
ADENOSINE,267.245,-2.09,4,8,-2.09,3.94,139.54,0.5,19,2
ST009496,267.245,-2.09,4,8,-2.09,3.94,139.54,0.5,19,2
NCGC EXT_IDNPC-9299252,267.245,-2.09,4,8,-2.09,3.94,139.54,0.5,19,2
sotalol,272.36,-0.4,3,4,-2.12,9.43,78.43,0.5,18,5
JHU- 9348,272.36,-0.4,3,4,-2.12,9.43,78.43,0.5,18,5
SOTALOL,272.36,-0.4,3,4,-2.12,9.43,78.43,0.5,18,5
NCGC EXT_ID4549-94-4,272.36,-0.4,3,4,-2.12,9.43,78.43,0.5,18,5
Sorafenib,464.83,4.34,3,3,4.34,11.5,92.35,0.1,32,6
JHU- 9331,464.83,4.34,3,3,4.34,11.5,92.35,0.1,32,6
NCGC EXT_IDNPC-7301742,464.83,4.34,3,3,4.34,11.5,92.35,0.1,32,6
Sodium tetradecyl sulfate,294.45,5.04,1,3,2.66,-1.05,63.6,1,19,11
JHU- 9295,294.45,5.04,1,3,2.66,-1.05,63.6,1,19,11
NCGC EXT_IDNPC-7447369,294.45,5.04,1,3,2.66,-1.05,63.6,1,19,11
sodium phenylbutyrate,164.204,2.5,1,2,-0.04,4.81,37.3,0.3,12,4
JHU- 12767,164.204,2.5,1,2,-0.04,4.81,37.3,0.3,12,4
JHU- 9265,164.204,2.5,1,2,-0.04,4.81,37.3,0.3,12,4
NCGC EXT_IDNPC-7263619,164.204,2.5,1,2,-0.04,4.81,37.3,0.3,12,4
simvastatin,418.574,4.46,1,3,4.46,14.9,72.83,0.76,30,7
JHU- 9143,418.574,4.46,1,3,4.46,14.9,72.83,0.76,30,7
1041_FDAMDD_v3b,418.574,4.46,1,3,4.46,14.9,72.83,0.76,30,7
NCGC EXT_IDNPC-7446957,418.574,4.46,1,3,4.46,14.9,72.83,0.76,30,7
sibutramine,279.85,5.2,0,1,2.86,9.77,3.24,0.65,19,5
JHU- 9105,279.85,5.2,0,1,2.86,9.77,3.24,0.65,19,5
SIBUTRAMINE,279.85,5.2,0,1,2.86,9.77,3.24,0.65,19,5
NCGC EXT_IDNPC-7296383,279.85,5.2,0,1,2.86,9.77,3.24,0.65,19,5
sevoflurane,200.056,2.27,0,1,2.27,15.1,9.23,1,12,4
JHU- 9093,200.056,2.27,0,1,2.27,15.1,9.23,1,12,4
NCGC EXT_IDNPC-7288763,200.056,2.27,0,1,2.27,15.1,9.23,1,12,4
selegiline,187.286,2.85,0,1,1.55,8.67,3.24,0.38,14,4
JHU- 9034,187.286,2.85,0,1,1.55,8.67,3.24,0.38,14,4
salmeterol,603.756,3.61,4,5,1.95,9.4,81.95,0.36,44,17
JHU- 8953,603.756,3.61,4,5,1.95,9.4,81.95,0.36,44,17
JHU- 8952,415.574,3.61,4,5,1.95,9.4,81.95,0.52,30,16
SALMETEROL,415.574,3.61,4,5,1.95,9.4,81.95,0.52,30,16
NCGC EXT_IDNPC-7443630,415.574,3.61,4,5,1.95,9.4,81.95,0.52,30,16
JHU- 8943,137.138,1.17,2,2,1.11,8.21,63.32,0,10,1
Salicylamide,137.138,1.17,2,2,1.11,8.21,63.32,0,10,1
NCGC EXT_IDNPC-7416980,137.138,1.17,2,2,1.11,8.21,63.32,0,10,1
salbutamol,239.315,0.34,4,4,-1.32,9.4,72.72,0.54,17,5
JHU- 238,239.315,0.34,4,4,-1.32,9.4,72.72,0.54,17,5
ALBUTEROL,239.315,0.34,4,4,-1.32,9.4,72.72,0.54,17,5
Rufinamide,238.198,1.27,1,3,1.27,12.6,73.8,0.1,17,3
JHU- 8896,238.198,1.27,1,3,1.27,12.6,73.8,0.1,17,3
NCGC EXT_IDNPC-7320177,238.198,1.27,1,3,1.27,12.6,73.8,0.1,17,3
rosiglitazone,357.43,2.8,1,5,2.69,7.37,71.53,0.28,25,7
JHU- 8865,357.43,2.8,1,5,2.69,7.37,71.53,0.28,25,7
NCGC EXT_IDNPC-7454316,357.43,2.8,1,5,2.69,7.37,71.53,0.28,25,7
Roquinimex,308.337,2.81,1,4,1.44,6.05,60.85,0.11,23,2
JHU- 8852,308.337,2.81,1,4,1.44,6.05,60.85,0.11,23,2
NCGC EXT_IDNPC-7316767,308.337,2.81,1,4,1.44,6.05,60.85,0.11,23,2
ropinirole,260.381,2.92,1,2,0.36,10.2,32.34,0.56,19,7
JHU- 8847,260.381,2.92,1,2,0.36,10.2,32.34,0.56,19,7
NCGC EXT_IDNPC-7282815,260.381,2.92,1,2,0.36,10.2,32.34,0.56,19,7
rofecoxib,314.36,2.56,0,3,2.53,8.57,60.44,0.12,22,3
JHU- 8820,314.36,2.56,0,3,2.53,8.57,60.44,0.12,22,3
CIC1041,314.36,2.56,0,3,2.53,8.57,60.44,0.12,22,3
NCGC EXT_IDNPC-7335382,314.36,2.56,0,3,2.53,8.57,60.44,0.12,22,3
rizatriptan,269.352,1.77,1,3,-0.37,9.56,49.74,0.33,20,5
JHU- 8806,269.352,1.77,1,3,-0.37,9.56,49.74,0.33,20,5
RIZATRIPTAN,269.352,1.77,1,3,-0.37,9.56,49.74,0.33,20,5
NCGC EXT_IDNPC-7439080,269.352,1.77,1,3,-0.37,9.56,49.74,0.33,20,5
risperidone,410.493,2.63,0,4,1.25,8.76,61.94,0.52,30,4
JHU- 8787,410.493,2.63,0,4,1.25,8.76,61.94,0.52,30,4
NCGC EXT_IDNPC-7405041,410.493,2.63,0,4,1.25,8.76,61.94,0.52,30,4
JHU- 8781,283.113,-3.32,5,8,-6.72,0.68,148.18,0.29,17,4
RISEDRONATE,283.113,-3.32,5,8,-6.72,0.68,148.18,0.29,17,4
NCGC EXT_IDNPC-7447986,283.113,-3.32,5,8,-6.72,0.68,148.18,0.29,17,4
riluzole,234.2,3.4,1,3,3.4,4.57,48.14,0.12,15,2
JHU- 8765,234.2,3.4,1,3,3.4,4.57,48.14,0.12,15,2
NCGC EXT_IDNPC-7411887,234.2,3.4,1,3,3.4,4.57,48.14,0.12,15,2
Remacemide,268.36,2.35,2,2,1.54,8.14,55.12,0.24,20,5
JHU- 8693,268.36,2.35,2,2,1.54,8.14,55.12,0.24,20,5
NCGC EXT_IDNPC-7427789,268.36,2.35,2,2,1.54,8.14,55.12,0.24,20,5
ramipril,416.518,1.47,2,5,-0.18,3.75,95.94,0.61,30,10
JHU- 8639,416.518,1.47,2,5,-0.18,3.75,95.94,0.61,30,10
RAMIPRIL,416.518,1.47,2,5,-0.18,3.75,95.94,0.61,30,10
raloxifene,473.59,5.46,2,5,4.8,8.42,70,0.25,34,7
JHU- 8632,473.59,5.46,2,5,4.8,8.42,70,0.25,34,7
RALOXIFENE,473.59,5.46,2,5,4.8,8.42,70,0.25,34,7
rabeprazole,359.44,2.09,1,5,2.09,9.35,77.1,0.33,25,8
JHU- 8607,359.44,2.09,1,5,2.09,9.35,77.1,0.33,25,8
NCGC EXT_IDNPC-7294369,359.44,2.09,1,5,2.09,9.35,77.1,0.33,25,8
JHU- 8568,289.73,1.19,3,4,1.18,9.56,101.29,0.3,18,2
Quinethazone,289.73,1.19,3,4,1.18,9.56,101.29,0.3,18,2
NCGC EXT_IDNPC-7298546,289.73,1.19,3,4,1.18,9.56,101.29,0.3,18,2
JHU- 8556,438.524,1.96,2,5,0.31,3.7,95.94,0.4,32,10
QUINAPRIL,438.524,1.96,2,5,0.31,3.7,95.94,0.4,32,10
quetiapine,383.51,2.81,1,5,2.64,7.06,48.3,0.38,27,5
JHU- 8545,383.51,2.81,1,5,2.64,7.06,48.3,0.38,27,5
CIC1020,383.51,2.81,1,5,2.64,7.06,48.3,0.38,27,5
NCGC EXT_IDNPC-7290698,383.51,2.81,1,5,2.64,7.06,48.3,0.38,27,5
Pyruvate,88.062,0.01,2,3,-3.39,3.4,57.53,0,6,1
JHU- 12772,88.062,0.01,2,3,-3.39,3.4,57.53,0,6,1
JHU- 8525,311.85,5.41,0,1,3.89,8.91,3.24,0.3,22,5
Pyrrobutamine,311.85,5.41,0,1,3.89,8.91,3.24,0.3,22,5
pyrimethamine,248.71,2.75,2,4,2.23,7.77,77.82,0.17,17,2
JHU- 8509,248.71,2.75,2,4,2.23,7.77,77.82,0.17,17,2
Pyrimethamine,248.71,2.75,2,4,2.23,7.77,77.82,0.17,17,2
NCGC EXT_IDNPC-7415236,248.71,2.75,2,4,2.23,7.77,77.82,0.17,17,2
pyridostigmine,285.391,3.04,0,4,1.66,8.76,28.6,0.35,21,7
JHU- 12403,285.391,3.04,0,4,1.66,8.76,28.6,0.35,21,7
Pyrilamine,285.391,3.04,0,4,1.66,8.76,28.6,0.35,21,7
NCGC EXT_IDNPC-7240517,285.391,3.04,0,4,1.66,8.76,28.6,0.35,21,7
JHU- 8507,169.18,-0.95,3,4,-0.96,5.58,73.58,0.38,12,2
PYRIDOXINE,169.18,-0.95,3,4,-0.96,5.58,73.58,0.38,12,2
NCGC EXT_IDNPC-7232772,169.18,-0.95,3,4,-0.96,5.58,73.58,0.38,12,2
pyrazinecarboxamide,123.115,-1.23,1,3,-1.23,13.1,68.87,0,9,1
JHU- 8495,123.115,-1.23,1,3,-1.23,13.1,68.87,0,9,1
PYRAZINAMIDE,123.115,-1.23,1,3,-1.23,13.1,68.87,0,9,1
JHU- 8459,263.384,4.5,1,1,1.61,10.5,12.03,0.26,20,4
Protriptyline,263.384,4.5,1,1,1.61,10.5,12.03,0.26,20,4
NCGC EXT_IDNPC-7243847,263.384,4.5,1,1,1.61,10.5,12.03,0.26,20,4
JHU- 8426,180.203,2.55,1,2,2.52,8.5,46.53,0.3,13,4
Propylparaben,180.203,2.55,1,2,2.52,8.5,46.53,0.3,13,4
NCGC EXT_IDNPC-7232796,180.203,2.55,1,2,2.52,8.5,46.53,0.3,13,4
JHU- 8425,447.011,3.13,0,3,3.13,-7.17,46.61,0.4,16,5
Propyliodone,447.011,3.13,0,3,3.13,-7.17,46.61,0.4,16,5
NCGC EXT_IDNPC-7396662,447.011,3.13,0,3,3.13,-7.17,46.61,0.4,16,5
JHU- 8424,155.285,2.7,1,1,-0.22,10.6,12.03,1,11,3
Propylhexedrine,155.285,2.7,1,1,-0.22,10.6,12.03,1,11,3
JHU- 8416,259.349,2.58,2,3,0.36,9.67,41.49,0.38,19,6
PROPRANOLOL,259.349,2.58,2,3,0.36,9.67,41.49,0.38,19,6
NCGC EXT_IDNPC-7262645,259.349,2.58,2,3,0.36,9.67,41.49,0.38,19,6
propofol,178.275,4.16,1,1,4.16,11,20.23,0.5,13,2
JHU- 8410,178.275,4.16,1,1,4.16,11,20.23,0.5,13,2
PROPOFOL,178.275,4.16,1,1,4.16,11,20.23,0.5,13,2
NCGC EXT_IDNPC-7448997,178.275,4.16,1,1,4.16,11,20.23,0.5,13,2
propiomazine,340.49,4.55,0,3,3.02,8.92,23.55,0.35,24,5
JHU- 8401,340.49,4.55,0,3,3.02,8.92,23.55,0.35,24,5
Propiomazine,340.49,4.55,0,3,3.02,8.92,23.55,0.35,24,5
NCGC EXT_IDNPC-7389465,340.49,4.55,0,3,3.02,8.92,23.55,0.35,24,5
Propamidine isethionate 0.1% ophthalmic solution,312.373,1.36,4,6,-3.46,12.1,118.2,0.18,23,8
JHU- 8382,312.373,1.36,4,6,-3.46,12.1,118.2,0.18,23,8
NCGC EXT_IDNPC-7391391,312.373,1.36,4,6,-3.46,12.1,118.2,0.18,23,8
propafenone,341.451,3.54,2,4,1.26,9.72,58.56,0.38,25,11
JHU- 8380,341.451,3.54,2,4,1.26,9.72,58.56,0.38,25,11
NCGC EXT_IDNPC-7299181,341.451,3.54,2,4,1.26,9.72,58.56,0.38,25,11
promethazine,284.42,4.29,0,2,2.64,9.05,6.48,0.29,20,3
JHU- 8372,284.42,4.29,0,2,2.64,9.05,6.48,0.29,20,3
PROMETHAZINE,284.42,4.29,0,2,2.64,9.05,6.48,0.29,20,3
NCGC EXT_IDNPC-7263596,284.42,4.29,0,2,2.64,9.05,6.48,0.29,20,3
promazine,284.42,3.93,0,2,2.14,9.2,6.48,0.29,20,4
JHU- 8368,284.42,3.93,0,2,2.14,9.2,6.48,0.29,20,4
Promazine,284.42,3.93,0,2,2.14,9.2,6.48,0.29,20,4
NCGC EXT_IDNPC-7304927,284.42,3.93,0,2,2.14,9.2,6.48,0.29,20,4
procyclidine,287.447,3.79,1,2,1.75,9.45,23.47,0.68,21,5
JHU- 8344,287.447,3.79,1,2,1.75,9.45,23.47,0.68,21,5
PROCYCLIDINE,287.447,3.79,1,2,1.75,9.45,23.47,0.68,21,5
NCGC EXT_IDNPC-7330847,287.447,3.79,1,2,1.75,9.45,23.47,0.68,21,5
prochlorperazine,373.94,4.38,0,3,3.69,7.99,9.72,0.4,25,4
JHU- 8336,373.94,4.38,0,3,3.69,7.99,9.72,0.4,25,4
PROCHLORPERAZINE,373.94,4.38,0,3,3.69,7.99,9.72,0.4,25,4
NCGC EXT_IDNPC-7302741,373.94,4.38,0,3,3.69,7.99,9.72,0.4,25,4
JHU- 8334,221.304,0.99,3,3,-0.01,8.36,53.16,0.42,16,5
PROCARBAZINE,221.304,0.99,3,3,-0.01,8.36,53.16,0.42,16,5
NCGC EXT_IDNPC-7445962,221.304,0.99,3,3,-0.01,8.36,53.16,0.42,16,5
procaine,236.315,1.88,1,3,0.31,8.96,55.56,0.46,17,7
JHU- 8330,236.315,1.88,1,3,0.31,8.96,55.56,0.46,17,7
NCGC EXT_IDNPC-7417168,236.315,1.88,1,3,0.31,8.96,55.56,0.46,17,7
